spec_version,bridge_scheme,frontier_source,delta,average_percentile_rank_displacement_pp,epsilon,scope,decile,metric,bound,endpoint_value,solver_status_code,solver_message,max_scenario_sum_residual,max_class_positive_mass_residual,max_overlap_capacity_excess,max_transport_row_margin_residual,max_transport_column_margin_residual,max_positive_transport_capacity_excess,max_nta_rank_positive_margin_residual,transport_cost,rank_displacement_budget_excess,max_rank_bridge_gap,max_rank_bridge_inequality_excess,minimum_decision_variable,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified,p1c14_v2_modified
rank_bridge_lp_v3,rank_transport_budget,epsilon_star_frontier,0,0,0.149015979543,decile,1,taxable_income_weighted_mean_MTR,min,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.149015979543,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,rank_transport_budget,epsilon_star_frontier,0,0,0.149015979543,decile,1,taxable_income_weighted_mean_MTR,max,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.149015979543,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,rank_transport_budget,epsilon_star_frontier,0,0,0.149015979543,decile,1,income_tax_liability_weighted_mean_MTR,min,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.149015979543,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,rank_transport_budget,epsilon_star_frontier,0,0,0.149015979543,decile,1,income_tax_liability_weighted_mean_MTR,max,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.149015979543,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,rank_transport_budget,epsilon_star_frontier,0,0,0.149015979543,decile,1,pseudo_filer_positive_tax_share,min,0.0854779411765,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.149015979543,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,rank_transport_budget,epsilon_star_frontier,0,0,0.149015979543,decile,1,pseudo_filer_positive_tax_share,max,0.155937849519,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),2.22044604925e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.149015979543,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,rank_transport_budget,epsilon_star_frontier,0,0,0.149015979543,decile,1,transported_nta_positive_liability_rate,min,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.149015979543,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,rank_transport_budget,epsilon_star_frontier,0,0,0.149015979543,decile,1,transported_nta_positive_liability_rate,max,0.00692186997585,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.149015979543,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,rank_transport_budget,epsilon_star_frontier,0,0,0.149015979543,decile,2,taxable_income_weighted_mean_MTR,min,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.149015979543,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,rank_transport_budget,epsilon_star_frontier,0,0,0.149015979543,decile,2,taxable_income_weighted_mean_MTR,max,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.11022302463e-16,0,0,0,0,0,6.93889390391e-18,0,0,0.149015979543,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
