parameter_group,rule_id,lower_yen_inclusive,upper_yen_exclusive,formula,rate,quick_deduction_yen,constant_yen,source_id,source_locator,source_sha256,status,note
income_tax_rate,T1,0,1950000,taxable*rate-quick,0.05,0,,NTA-2024-FILING-GUIDE-RATE,"課税される所得金額に対する税額 / 1,000-1,949,000円",52e4f8f5f93d496e3b7e0706a199fa998ec69c4cb0bd6102c802a9c2116941dd,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T2,1950000,3300000,taxable*rate-quick,0.1,97500,,NTA-2024-FILING-GUIDE-RATE,"1,950,000-3,299,000円",52e4f8f5f93d496e3b7e0706a199fa998ec69c4cb0bd6102c802a9c2116941dd,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T3,3300000,6950000,taxable*rate-quick,0.2,427500,,NTA-2024-FILING-GUIDE-RATE,"3,300,000-6,949,000円",52e4f8f5f93d496e3b7e0706a199fa998ec69c4cb0bd6102c802a9c2116941dd,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T4,6950000,9000000,taxable*rate-quick,0.23,636000,,NTA-2024-FILING-GUIDE-RATE,"6,950,000-8,999,000円",52e4f8f5f93d496e3b7e0706a199fa998ec69c4cb0bd6102c802a9c2116941dd,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T5,9000000,18000000,taxable*rate-quick,0.33,1536000,,NTA-2024-FILING-GUIDE-RATE,"9,000,000-17,999,000円",52e4f8f5f93d496e3b7e0706a199fa998ec69c4cb0bd6102c802a9c2116941dd,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T6,18000000,40000000,taxable*rate-quick,0.4,2796000,,NTA-2024-FILING-GUIDE-RATE,"18,000,000-39,999,000円",52e4f8f5f93d496e3b7e0706a199fa998ec69c4cb0bd6102c802a9c2116941dd,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T7,40000000,,taxable*rate-quick,0.45,4796000,,NTA-2024-FILING-GUIDE-RATE,"40,000,000円以上",52e4f8f5f93d496e3b7e0706a199fa998ec69c4cb0bd6102c802a9c2116941dd,VERIFIED_OFFICIAL_RULE,
basic_deduction,B1,0,24000001,constant,,,480000,NTA-2024-FILING-GUIDE-BASIC,"合計所得金額2,400万円以下",e410d005704df60828a6f68244727f1413a9eccdc74f4ec071f72c287d6199a6,VERIFIED_OFFICIAL_RULE,
basic_deduction,B2,24000001,24500001,constant,,,320000,NTA-2024-FILING-GUIDE-BASIC,"2,400万円超2,450万円以下",e410d005704df60828a6f68244727f1413a9eccdc74f4ec071f72c287d6199a6,VERIFIED_OFFICIAL_RULE,
basic_deduction,B3,24500001,25000001,constant,,,160000,NTA-2024-FILING-GUIDE-BASIC,"2,450万円超2,500万円以下",e410d005704df60828a6f68244727f1413a9eccdc74f4ec071f72c287d6199a6,VERIFIED_OFFICIAL_RULE,
basic_deduction,B4,25000001,,constant,,,0,NTA-2024-FILING-GUIDE-BASIC,"2,500万円超",e410d005704df60828a6f68244727f1413a9eccdc74f4ec071f72c287d6199a6,VERIFIED_OFFICIAL_RULE,
employment_income,E1,0,551000,zero,,,0,NTA-2024-FILING-GUIDE-SALARY,"給与収入550,999円以下",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
employment_income,E2,551000,1619000,gross-550000,,,,NTA-2024-FILING-GUIDE-SALARY,"551,000-1,618,999円",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
employment_income,E3,1619000,1620000,constant,,,1069000,NTA-2024-FILING-GUIDE-SALARY,"1,619,000-1,619,999円",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
employment_income,E4,1620000,1622000,constant,,,1070000,NTA-2024-FILING-GUIDE-SALARY,"1,620,000-1,621,999円",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
employment_income,E5,1622000,1624000,constant,,,1072000,NTA-2024-FILING-GUIDE-SALARY,"1,622,000-1,623,999円",40b64c0e964a4eb41f4aeac451628a247a5d40497982f3a996025cbc6ea0c262,VERIFIED_OFFICIAL_RULE,
